,name,indices,number_of_questions,is_human,gender
59,Abraham Lncoln,[151431],1,,
60,Abraham V,[188181],1,True,male
61,Abraham Zapruder,"[159052, 244385, 340872, 120907]",4,True,male
62,Abrahama Lincoln,[154740],1,,
63,Absolut,"[80352, 140297, 168840, 287725]",4,False,
64,Abu Ghraib,"[228985, 345055]",2,False,
65,Abu Simbel,"[39819, 94727, 133660, 134846]",4,False,
66,Abyss,"[92543, 322998]",2,False,
67,Acadia Acadie,[259832],1,False,
68,Académie Française,[268674],1,False,
69,Ace Frehley,"[113951, 164989, 245854]",3,True,male
70,Ace Hardware,"[48319, 100769, 181678]",3,False,
71,Ace Rothstein,[287864],1,False,
72,Ace Ventura,"[58111, 99368, 230035, 279900, 67837]",5,False,male
73,Achille Lauro,"[13342, 55650, 82844, 190464]",4,False,
74,Achtung Baby,"[194060, 300909]",2,False,
75,Acrobat,"[116655, 185983, 221781]",3,False,
76,Acrophobia,[89558],1,False,
77,Action Jackson,[20828],1,False,
78,Actuary,[125400],1,False,
79,Adam,"[56119, 323776, 338952, 343823, 1767, 20207, 99467, 117730, 112645, 185264, 55676, 255682, 312376]",13,False,androgynos
80,Adam Ant,"[5031, 70702, 116888, 277038]",4,True,male
81,Adam Bede,"[141195, 220818, 271466]",3,False,
82,Adam Carolla,[258342],1,True,male
83,Adam Clayton Powell,"[1045, 1553, 17576, 220817]",4,True,male
84,Adam Clayton Powell Jr.,"[55462, 148708]",2,True,male
85,Adam Dalgliesh,[164068],1,False,male
86,Adam Driver,"[342657, 319381]",2,True,male
87,Adam Jones,[215033],1,True,male
88,Adam Lambert,[277987],1,True,male
89,Adam Levine,"[301551, 309595, 327529]",3,True,male
90,Adam Sandler,"[284210, 313595, 74512, 103640, 108166, 114203, 119970, 121340, 129943, 140889, 146838, 201897, 227982, 244047, 266164, 274450, 276643, 294441, 296878, 346597]",20,True,male
91,Adam Scott,[276008],1,True,male
92,Adam Smith,"[178510, 15330, 26010, 28211, 32925, 43529, 49542, 54479, 55598, 63083, 86113, 92007, 95859, 104672, 121758, 128687, 182987, 183637, 184679, 190956, 192273, 202779, 216380, 220815, 228300, 257594, 287483, 293127, 301426, 325333, 334099]",31,True,male
93,Adam Vinatieri,[134829],1,True,male
94,Adam West,"[11127, 67662, 126469, 219077]",4,True,male
95,Adama,[205552],1,False,
96,Addendum,[52372],1,False,
97,Adele Astaire,[116889],1,True,female
98,Adelle Davis,[6038],1,True,female
99,Adeste Fideles,"[51865, 83497]",2,False,
100,Adlai,[344204],1,True,male
101,Adlai Stevenson,"[133517, 183970, 184776, 207852, 267128, 274295, 317271, 790, 2572, 3428, 26757, 37241, 44960, 45383, 60266, 67867, 77924, 82202, 95026, 95863, 97717, 108853, 154536, 169040, 173287, 175154, 255760, 278246, 288455, 302553, 310684]",31,True,male
102,Adnan Khashoggi,"[28518, 33671, 52147]",3,True,male
103,Ado,"[57248, 115831]",2,False,
104,Adolf Hitler,[61640],1,True,male
105,Adolph,[20458],1,False,
106,Adolph Caesar,[6184],1,True,male
107,Adolph Coors,"[127076, 235045, 84153, 97259]",4,True,male
108,Adolph Green,[6490],1,True,male
109,Adolph Ochs,"[133284, 271015]",2,True,male
110,Adolph Zukor,[145784],1,True,male
111,Adolphe Sax,"[124235, 193493, 344485]",3,True,male
112,Adolphus Busch,"[45672, 104470, 118611]",3,True,male
113,Adrian Mole,[197188],1,False,
114,Adrian Peterson,"[268119, 283446]",2,True,male
115,Adrien Brody,"[190524, 298750, 152050, 154039, 173115, 192732, 225956, 228088]",8,True,male
116,Adult Swim,[235226],1,False,
117,Advent,[130393],1,False,
118,Adventures,"[197417, 6566, 72659, 164129, 205001, 237216]",6,False,
119,Aeneid,"[184475, 192565, 201254, 210852, 218097, 279308, 280283, 312582, 333345, 337514]",10,False,
120,Aeon,[129751],1,False,
121,Aeon Flux,"[284491, 338766]",2,False,
122,Aga Khan,[75089],1,False,
123,Again\,[37244],1,False,
